femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
19.201175,76.087061,-25.581562,19.201175,76.087061,-25.581562,-5.625000,-18.125000,-19.375000,-5.625000,-19.375000,1.875000
-12.271852,88.155539,-25.066157,-12.271852,88.155539,-25.066157,-6.875000,-18.125000,-19.375000,-5.625000,-19.375000,0.625000
-58.932458,-48.333443,153.016614,-58.932458,-48.333443,153.016614,-6.875000,-18.125000,-18.125000,-5.625000,-18.125000,0.625000
47.932939,145.743456,40.715130,47.932939,145.743456,40.715130,-4.375000,-19.375000,-18.125000,-6.875000,-18.125000,0.625000
26.235041,-162.400197,-129.580636,26.235041,-162.400197,-129.580636,-4.375000,-19.375000,-19.375000,-6.875000,-18.125000,1.875000
-23.661492,-71.974185,-78.874196,-23.661492,-71.974185,-78.874196,-3.125000,-19.375000,-19.375000,-4.375000,-19.375000,1.875000
-59.136683,-149.110851,-118.433515,-59.136683,-149.110851,-118.433515,-3.125000,-18.125000,-19.375000,-4.375000,-19.375000,0.625000
-21.907238,153.549094,-157.493670,-21.907238,153.549094,-157.493670,-3.125000,-18.125000,-18.125000,-3.125000,-19.375000,0.625000
-34.224359,84.334445,-103.474656,-34.224359,84.334445,-103.474656,-3.125000,-19.375000,-18.125000,-3.125000,-18.125000,0.625000
66.813606,168.614822,90.772080,66.813606,168.614822,90.772080,-4.375000,-18.125000,-18.125000,-3.125000,-18.125000,1.875000
-78.253805,52.892198,109.856727,-78.253805,52.892198,109.856727,-4.375000,-18.125000,-19.375000,-3.125000,-19.375000,1.875000
-7.601980,91.900598,11.139256,-7.601980,91.900598,11.139256,-1.875000,-19.375000,-19.375000,-4.375000,-18.125000,1.875000
-60.174434,-136.732378,3.076059,-60.174434,-136.732378,3.076059,-1.875000,-19.375000,-18.125000,-4.375000,-18.125000,0.625000
70.795429,-99.522404,-13.246620,70.795429,-99.522404,-13.246620,-0.625000,-19.375000,-18.125000,-1.875000,-19.375000,0.625000
44.921074,-128.706454,-100.543207,44.921074,-128.706454,-100.543207,-0.625000,-18.125000,-18.125000,-1.875000,-19.375000,1.875000
-68.778728,-149.009548,-118.228071,-68.778728,-149.009548,-118.228071,-0.625000,-18.125000,-19.375000,-0.625000,-19.375000,1.875000
-68.797672,-50.237711,-124.857948,-68.797672,-50.237711,-124.857948,-0.625000,-19.375000,-19.375000,-0.625000,-18.125000,1.875000
13.019317,150.854525,118.875824,13.019317,150.854525,118.875824,-1.875000,-18.125000,-19.375000,-0.625000,-18.125000,0.625000
-29.832025,43.152240,79.804074,-29.832025,43.152240,79.804074,-1.875000,-18.125000,-18.125000,-0.625000,-19.375000,0.625000
40.257949,7.957819,-117.107860,40.257949,7.957819,-117.107860,0.625000,-18.125000,-18.125000,-1.875000,-18.125000,0.625000
-12.442157,65.470405,79.995089,-12.442157,65.470405,79.995089,0.625000,-18.125000,-19.375000,-1.875000,-18.125000,1.875000
-17.406083,89.717387,148.820038,-17.406083,89.717387,148.820038,1.875000,-18.125000,-19.375000,0.625000,-18.125000,1.875000
-83.639539,-103.771389,149.222749,-83.639539,-103.771389,149.222749,0.625000,-19.375000,-19.375000,0.625000,-18.125000,0.625000
-56.618229,-71.920959,-166.564431,-56.618229,-71.920959,-166.564431,0.625000,-19.375000,-18.125000,1.875000,-18.125000,0.625000
52.417587,-16.799438,-46.068101,52.417587,-16.799438,-46.068101,1.875000,-18.125000,-18.125000,0.625000,-19.375000,0.625000
-79.075887,38.222446,-50.897968,-79.075887,38.222446,-50.897968,1.875000,-19.375000,-18.125000,0.625000,-19.375000,1.875000
32.841484,-147.518011,-170.550567,32.841484,-147.518011,-170.550567,1.875000,-19.375000,-19.375000,1.875000,-18.125000,1.875000
78.423934,-14.159152,-58.035173,78.423934,-14.159152,-58.035173,3.125000,-19.375000,-19.375000,1.875000,-19.375000,1.875000
-67.083487,-9.770801,1.076568,-67.083487,-9.770801,1.076568,4.375000,-18.125000,-19.375000,1.875000,-19.375000,0.625000
5.844147,134.991451,-76.483132,5.844147,134.991451,-76.483132,4.375000,-18.125000,-18.125000,3.125000,-19.375000,0.625000
